"Timestamp","Participant ID","Gender","Age","I understand what the system should do.","I understand the limitations of the system.","I understand the capabilities of the system.","The system performs consistently.","The system performs the way it should.","I feel comfortable relying on the information provided by the system.","I am rarely surprised by how the system responds."
"2024/05/09 11:36:57 am EEST","testc1","Male","","6","4","5","3","3","4","6"
"2024/05/09 12:44:24 pm EEST","testb1","Male","","7","6","7","7","7","7","7"
"2024/05/09 1:43:31 pm EEST","testa1","Female","","7","6","4","5","6","5","6"
"2024/05/09 2:08:26 pm EEST","testc2","Male","","6","6","6","2","2","5","4"
"2024/05/09 3:07:27 pm EEST","testa2","Male","23","6","6","6","7","5","6","5"
"2024/05/09 3:45:27 pm EEST","testb2","Male","24","6","5","5","1","2","1","5"
"2024/05/10 11:18:16 am EEST","testa3","Male","21","2","6","5","1","6","6","7"
"2024/05/10 12:20:16 pm EEST","testb3","Male","23","3","3","2","2","3","3","2"
"2024/05/10 2:41:40 pm EEST","testc3","Male","36","6","6","6","6","5","5","6"
"2024/05/10 3:17:42 pm EEST","testa4","Male","23","5","3","3","3","4","4","3"
"2024/05/10 3:54:31 pm EEST","testb4","Male","23","6","5","4","5","4","4","6"
"2024/05/10 4:29:46 pm EEST","testc4","Male","26","5","1","3","4","4","5","5"
"2024/05/10 4:32:04 pm EEST","testa5","Male","24","7","4","3","7","7","5","5"
"2024/05/10 4:50:06 pm EEST","testb5","Male","23","6","4","4","2","4","4","6"
"2024/05/13 12:27:25 pm EEST","testc5","Male","23","6","3","5","5","5","5","5"
"2024/05/13 1:17:21 pm EEST","testa6","Male","19","4","5","3","6","5","4","5"
"2024/05/13 1:33:36 pm EEST","testb6","Male","26","6","3","4","2","5","6","4"
"2024/05/13 1:49:21 pm EEST","testc6","Male","24","6","2","4","5","5","3","7"
"2024/05/13 2:03:43 pm EEST","testa7","Male","25","5","2","2","5","5","3","3"
"2024/05/13 2:24:19 pm EEST","testb7","Male","27","5","3","3","4","4","5","3"
"2024/05/13 2:43:54 pm EEST","testc7","Male","34","7","7","7","4","5","4","1"
"2024/05/13 3:30:00 pm EEST","testa8","Male","31","6","3","3","1","3","3","6"
"2024/05/13 4:31:54 pm EEST","testb8","Male","26","6","6","3","2","3","3","1"
"2024/05/13 6:19:28 pm EEST","testc8","Male","26","6","2","4","3","5","5","3"
"2024/05/13 6:53:22 pm EEST","testa9","Male","29","3","2","4","3","5","5","2"
"2024/05/13 7:58:43 pm EEST","testb9","Male","18","7","7","7","4","4","7","6"
"2024/05/13 8:45:53 pm EEST","testc9","Male","22","6","3","5","3","4","6","5"
"2024/05/13 9:14:43 pm EEST","testa10","Male","25","4","3","3","3","4","4","3"
"2024/05/13 10:23:49 pm EEST","testb10","Male","26","7","5","5","6","6","6","6"
"2024/05/14 12:03:52 am EEST","testc10","Male","25","6","3","3","3","2","4","2"